#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-07-25T22:14:43 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b58cf1a11f61	
#INFO	-out.max=unlimited	
#INFO	queryParameters=34	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/ApJS/218/23/table4
#-nav=cat:J/ApJS/218/23&tab:{J/ApJS/218/23/table4}&key:source=J/ApJS/218/23/table4&HTTPPRM:&&-ref=VIZ5b58cf1a11f61&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=3FGL&-out=LC&-ignore=LC=*&LC=LC&-out=Na&-out=Sp&-out=RAJ2000&-out=DEJ2000&-out=amaj&-out=amin&-out=phi&-out=Sig&-out=F35&-out=S25&-out=Gamma&-out=Mod&-out=Var&-out=Flag&-out=Assoc&-out=TeV&-out=Class&-out=ID&-out=Simbad&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/218/23/table4
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/218/23/table4
#-out=3FGL
#-out=LC
#-out=Na
#-out=Sp
#-out=RAJ2000
#-out=DEJ2000
#-out=amaj
#-out=amin
#-out=phi
#-out=Sig
#-out=F35
#-out=S25
#-out=Gamma
#-out=Mod
#-out=Var
#-out=Flag
#-out=Assoc
#-out=TeV
#-out=Class
#-out=ID
#-out=Simbad
#

#RESOURCE=yCat_22180023
#Name: J/ApJS/218/23
#Title: Fermi LAT third source catalog (3FGL) (Acero+, 2015)
#Table	J_ApJS_218_23_table4:
#Name: J/ApJS/218/23/table4
#Title: LAT 4-year catalog
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	3FGL	(A13)	The 3FGL name (1)	[ucd=meta.id;meta.main]
#Column	LC	(A2)	Display the 3FGL light curves image for this object from the Fermi SSC site (updated weekly)	[ucd=meta.ref.url]
#Column	Na	(I3)	Simbad column added by the CDS [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Sp	(I1)	Number of spectral analyses for this source (table8) [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	RAJ2000	(F7.3)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	amaj	(F6.3)	[0.005/1.1]? 95% confidence error ellipse semimajor axis	[ucd=phys.angSize.smajAxis;pos.errorEllipse]
#Column	amin	(F6.3)	[0.005/0.6]? 95% confidence error ellipse semiminor axis	[ucd=phys.angSize.sminAxis;pos.errorEllipse]
#Column	phi	(I3)	[-90/90]? Position angle {phi} of error ellipse (East of North) [NULL integer written as an empty string]	[ucd=pos.posAng]
#Column	Sig	(F6.1)	[4/1049]? Significance (2)	[ucd=stat.fit.goodness]
#Column	F35	(F6.1)	[0/1298] Photon flux summed over 3 bands 1-100GeV (10^-9^ph/cm^2^/s)	[ucd=phot.count;em.gamma.hard]
#Column	S25	(F6.1)	[1.7/8932] Energy flux for 100MeV-100GeV from power-law fit (10^-12^erg/s/cm^2^)	[ucd=phot.flux.density;em.gamma.hard]
#Column	Gamma	(F5.2)	[1.1/5.8] Photon power-law index {Gamma} for 100MeV-100GeV	[ucd=meta.code;spect.index]
#Column	Mod	(A2)	Spectral model used to fit the energy spectrum (PL, EC or LP) (3)	[ucd=instr.setup;meta.modelled]
#Column	Var	(A1)	[T] Variability flag, T=true (4)	[ucd=meta.code;src.var]
#Column	Flag	(a12)	Analysis flag(s); see Table 3	[ucd=meta.code.error]
#Column	Assoc	(A18)	The {gamma}-ray association (5)	[ucd=meta.id.assoc]
#Column	TeV	(A1)	[EP] Extended or Point-like source (6)	[ucd=meta.code]
#Column	Class	(A5)	Astrophysical class of source (7)	[ucd=src.class]
#Column	ID	(a26)	Designator of identified or associated source (8)	[ucd=meta.id.assoc]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
_RAJ2000	_DEJ2000	3FGL	LC	Na	Sp	RAJ2000	DEJ2000	amaj	amin	phi	Sig	F35	S25	Gamma	Mod	Var	Flag	Assoc	TeV	Class	ID	Simbad
deg	deg	 	 	 	 	deg	deg	deg	deg	deg	 	10-5/m2/s	fW/m2	 	 	 	 	 	 	 	 	
---------	---------	-------------	--	---	-	-------	-------	------	------	---	------	------	------	-----	--	-	------------	------------------	-	-----	--------------------------	------
000.03800	+65.75200	J0000.1+6545 	LC	  1	0	000.038	+65.752	 0.102	 0.078	 41	   6.8	   1.0	  13.6	 2.41	PL	 	3           	2FGL J2359.6+6543c	 	     	                          	Simbad
000.06100	-37.64800	J0000.2-3738 	LC	  1	0	000.061	-37.648	 0.073	 0.068	-89	   5.1	   0.2	   2.4	 1.87	PL	 	            	                  	 	     	                          	Simbad
000.25400	+63.24400	J0001.0+6314 	LC	  1	0	000.254	+63.244	 0.248	 0.160	-65	   6.2	   0.6	  13.0	 2.73	PL	 	3,4,5       	2FGL J2358.9+6325 	 	spp  	                          	Simbad
000.32100	-07.81600	J0001.2-0748 	LC	  2	0	000.321	-07.816	 0.082	 0.070	-19	  11.3	   0.7	   7.8	 2.15	PL	 	            	2FGL J0000.9-0748 	 	bll  	PMN J0001-0746            	Simbad
000.32100	-07.81600	J0001.2-0748 	LC	  2	0	000.321	-07.816	 0.082	 0.070	-19	  11.3	   0.7	   7.8	 2.15	PL	 	            	1FGL J0000.9-0745 	 	     	                          	Simbad
000.36100	+21.33800	J0001.4+2120 	LC	  1	0	000.361	+21.338	 0.211	 0.188	-33	  11.4	   0.3	   8.1	 2.78	LP	T	            	3EG J2359+2041    	 	fsrq 	TXS 2358+209              	Simbad
000.40400	+35.59000	J0001.6+3535 	LC	  1	0	000.404	+35.590	 0.213	 0.167	  8	   4.2	   0.3	   3.4	 2.35	PL	 	4           	                  	 	     	                          	Simbad
000.52400	-67.37000	J0002.0-6722 	LC	  1	0	000.524	-67.370	 0.102	 0.086	 69	   5.9	   0.3	   3.3	 1.95	PL	 	            	                  	 	     	                          	Simbad
000.56200	-41.88300	J0002.2-4152 	LC	  2	0	000.562	-41.883	 0.217	 0.140	 68	   5.2	   0.3	   3.0	 2.09	PL	 	            	2FGL J0001.7-4159 	 	bcu  	1RXS J000135.5-415519     	Simbad
000.56200	-41.88300	J0002.2-4152 	LC	  2	0	000.562	-41.883	 0.217	 0.140	 68	   5.2	   0.3	   3.0	 2.09	PL	 	            	1FGL J0001.9-4158 	 	     	                          	Simbad
000.67400	+62.30100	J0002.6+6218 	LC	  1	0	000.674	+62.301	 0.061	 0.054	-55	  18.0	   2.8	  18.4	 2.35	LP	 	            	2FGL J0002.7+6220 	 	     	                          	Simbad
000.81500	-52.77700	J0003.2-5246 	LC	  1	0	000.815	-52.777	 0.070	 0.061	-44	   5.7	   0.3	   3.0	 1.90	PL	 	            	                  	 	bcu  	RBS 0006                  	Simbad
000.85800	+31.00800	J0003.4+3100 	LC	  1	0	000.858	+31.008	 0.181	 0.163	 13	   6.3	   0.3	   4.9	 2.55	PL	 	            	                  	 	     	                          	Simbad
000.89000	+57.36000	J0003.5+5721 	LC	  1	0	000.890	+57.360	 0.089	 0.072	  1	   5.4	   0.5	   5.4	 2.18	PL	 	            	                  	 	     	                          	Simbad
000.95900	-11.86300	J0003.8-1151 	LC	  1	0	000.959	-11.863	 0.130	 0.100	-17	   4.2	   0.2	   2.6	 2.02	PL	 	            	                  	 	bcu  	PMN J0004-1148            	Simbad
001.05700	+08.72700	J0004.2+0843 	LC	  1	0	001.057	+08.727	 0.090	 0.086	-67	   4.7	   0.3	   3.0	 2.05	PL	 	1,4,5       	                  	 	     	                          	Simbad
001.05500	+67.95900	J0004.2+6757 	LC	  1	0	001.055	+67.959	 0.101	 0.090	-70	   6.0	   0.8	  12.0	 2.50	PL	 	            	                  	 	     	                          	Simbad
001.18100	-47.67100	J0004.7-4740 	LC	  2	0	001.181	-47.671	 0.090	 0.078	-41	  14.5	   0.7	   9.2	 2.40	PL	T	            	2FGL J0004.7-4736 	 	fsrq 	PKS 0002-478              	Simbad
001.18100	-47.67100	J0004.7-4740 	LC	  2	0	001.181	-47.671	 0.090	 0.078	-41	  14.5	   0.7	   9.2	 2.40	PL	T	            	1FGL J0004.7-4737 	 	     	                          	Simbad
001.57200	+01.58500	J0006.2+0135 	LC	  1	0	001.572	+01.585	 0.098	 0.075	 58	   5.5	   0.3	   3.4	 2.19	PL	 	            	                  	 	     	                          	Simbad
001.61200	+38.41800	J0006.4+3825 	LC	  2	0	001.612	+38.418	 0.225	 0.142	 32	  10.5	   0.6	  10.4	 2.62	PL	T	            	2FGL J0006.1+3821 	 	fsrq 	S4 0003+38                	Simbad
001.61200	+38.41800	J0006.4+3825 	LC	  2	0	001.612	+38.418	 0.225	 0.142	 32	  10.5	   0.6	  10.4	 2.62	PL	T	            	1FGL J0005.7+3815 	 	     	                          	Simbad
001.65100	+46.30500	J0006.6+4618 	LC	  1	0	001.651	+46.305	 0.142	 0.115	-79	   4.6	   0.3	   4.2	 2.42	PL	 	            	                  	 	     	                          	Simbad
001.76600	+73.05000	J0007.0+7302 	LC	  6	0	001.766	+73.050	 0.007	 0.007	-67	 288.7	  64.9	 425.6	 1.88	EC	 	            	1FHL J0007.3+7303 	E	PSR  	LAT PSR J0007+7303        	Simbad
001.76600	+73.05000	J0007.0+7302 	LC	  6	0	001.766	+73.050	 0.007	 0.007	-67	 288.7	  64.9	 425.6	 1.88	EC	 	            	2FGL J0007.0+7303 	 	     	                          	Simbad
001.76600	+73.05000	J0007.0+7302 	LC	  6	0	001.766	+73.050	 0.007	 0.007	-67	 288.7	  64.9	 425.6	 1.88	EC	 	            	1FGL J0007.0+7303 	 	     	                          	Simbad
