#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-07-25T22:34:42 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b58f6c92355f	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/ApJ/810/14/highlat
#-nav=cat:J/ApJ/810/14&tab:{J/ApJ/810/14/highlat}&key:source=J/ApJ/810/14/highlat&HTTPPRM:&&-ref=VIZ5b58f6c92355f&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=3FGL&-out=VHE&-out=CName&-out=RAJ2000&-out=DEJ2000&-out=Sep&-out=PosErr&-out=SpCl&-out=z&-out=FRad&-out=n_FRad&-out=FX&-out=Vmag1&-out=Vmag2&-ignore=Simbad=*&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJ/810/14/highlat
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/810/14/highlat
#-out=3FGL
#-out=VHE
#-out=CName
#-out=RAJ2000
#-out=DEJ2000
#-out=Sep
#-out=PosErr
#-out=SpCl
#-out=z
#-out=FRad
#-out=n_FRad
#-out=FX
#-out=Vmag1
#-out=Vmag2
#

#RESOURCE=yCat_18100014
#Name: J/ApJ/810/14
#Title: Third catalog of LAT-detected AGNs (3LAC) (Ackermann+, 2015)
#Table	J_ApJ_810_14_highlat:
#Name: J/ApJ/810/14/highlat
#Title: High latitude (|b|>10deg) 3LAC full  sample and fluxes
#Column	3FGL	(A13)	3FGL Source Name (JHHMM.m+DDMMa)	[ucd=meta.id;meta.main]
#Column	VHE	(I3)	Simbad column added by the CDS [NULL integer written as an empty string]	[ucd=meta.code]
#Column	CName	(a26)	Name of the counterpart source	[ucd=meta.id.cross]
#Column	RAJ2000	(F9.5)	Radio counterpart right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Radio counterpart declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Sep	(F6.3)	[0/0.4] Angular separation with counterpart source	[ucd=meta.id.assoc;pos.angDistance]
#Column	PosErr	(F6.3)	[0/0.6] 95% error radius	[ucd=stat.error;phys.angSize]
#Column	SpCl	(a7)	Optical class (G1)	[ucd=src.class]
#Column	z	(F8.5)	[0.001/3.2]? Redshift	[ucd=src.redshift]
#Column	FRad	(F9.2)	? Radio flux	[ucd=phot.flux.density;em.radio]
#Column	n_FRad	(A1)	Flag on FRad (G4)	[ucd=meta.note]
#Column	FX	(F8.3)	? X-ray flux; units of 1e-13erg/cm2/s	[ucd=phot.flux;em.X-ray]
#Column	Vmag1	(F6.3)	? USNO V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	Vmag2	(F6.3)	? SDSS V band magnitude	[ucd=phot.mag;em.opt.V]
3FGL	VHE	CName	RAJ2000	DEJ2000	Sep	PosErr	SpCl	z	FRad	n_FRad	FX	Vmag1	Vmag2
 	 	 	deg	deg	deg	deg	 	 	mJy	 	10-10W/m2	mag	mag
-------------	---	--------------------------	---------	---------	------	------	-------	--------	---------	-	--------	------	------
J0001.2-0748 	  0	PMN J0001-0746            	000.32510	-07.77415	 0.042	 0.075	bll    	        	   209.17	N	   8.100	17.612	17.210
J0001.4+2120 	  0	TXS 2358+209              	000.38502	+21.22679	 0.113	 0.199	fsrq   	 1.10600	   217.87	N	  23.100	18.714	18.420
J0002.2-4152 	  0	1RXS J000135.5-415519     	000.38642	-41.92367	 0.137	 0.174	bcu II 	        	    13.20	S	        	18.427	
J0003.2-5246 	  0	RBS 0006                  	000.83121	-52.79103	 0.017	 0.065	bcu II 	        	    65.30	S	  48.500	18.813	
J0003.8-1151 	  0	PMN J0004-1148            	001.02048	-11.81622	 0.076	 0.114	bcu II 	        	   459.60	N	        	18.575	
J0003.8-1151 	  0	PKS 0001-121              	000.92848	-11.86372	 0.030	 0.114	bcu I  	 1.30999	   352.48	N	        	17.423	
J0004.7-4740 	  0	PKS 0002-478              	001.14856	-47.60545	 0.069	 0.084	fsrq   	 0.88000	   932.90	S	  14.900	17.296	
J0006.4+3825 	  0	S4 0003+38                	001.48823	+38.33754	 0.126	 0.179	fsrq   	 0.22900	   572.76	N	        	17.724	
J0008.0+4713 	  0	MG4 J000800+4712          	001.99989	+47.20216	 0.028	 0.031	bll    	 2.10000	    60.86	N	  14.800	18.283	
J0008.6-2340 	  0	RBS 0016                  	002.14750	-23.65778	 0.028	 0.070	bll    	 0.14700	    36.26	N	  47.100	16.641	
J0009.1+0630 	  0	CRATES J000903.95+062821.5	002.26638	+06.47257	 0.043	 0.060	bll    	        	   247.06	N	  13.000	18.704	18.110
J0009.1+0630 	  0	GB6 J0009+0625            	002.32106	+06.43187	 0.078	 0.060	bll    	        	   180.08	N	        	19.492	19.200
J0009.3+5030 	  0	NVSS J000922+503028       	002.34483	+50.50801	 0.007	 0.020	bll    	        	    12.27	N	        	      	
J0009.6-3211 	  0	IC 1531                   	002.39816	-32.27692	 0.078	 0.141	bcu I  	 0.02500	   388.85	N	   5.010	 8.910	
J0013.2-3954 	  0	PKS 0010-401              	003.24962	-39.90724	 0.042	 0.054	bll    	        	   494.61	N	        	18.090	
J0013.9-1853 	  1	RBS 0030                  	003.48351	-18.90186	 0.009	 0.060	bll    	 0.09440	    29.63	N	 126.000	12.946	
J0014.0-5025 	  0	RBS 0032                  	003.54675	-50.37575	 0.056	 0.079	bll    	        	    15.10	S	 123.000	19.060	
J0016.3-0013 	  0	S3 0013-00                	004.04620	-00.25346	 0.040	 0.107	fsrq   	 1.57700	  1085.71	N	        	19.986	19.120
J0017.2-0643 	  0	PMN J0017-0650            	004.28913	-06.84304	 0.120	 0.114	bcu II 	        	    93.98	N	        	18.604	18.310
J0017.6-0512 	  0	PMN J0017-0512            	004.39924	-05.21160	 0.008	 0.068	fsrq   	 0.22700	   178.44	N	  17.400	18.088	17.020
J0018.4+2947 	  0	RBS 0042                  	004.61579	+29.79199	 0.011	 0.078	bll    	 0.10000	    33.80	N	 143.000	17.471	18.040
J0018.9-8152 	  0	PMN J0019-8152            	004.83602	-81.88095	 0.013	 0.054	bll    	        	    87.00	S	  49.900	16.348	
J0019.1-5645 	  0	PMN J0019-5641            	004.86088	-56.69513	 0.066	 0.108	bcu II 	        	    60.60	S	        	21.309	
J0019.4+2021 	  0	PKS 0017+200              	004.90773	+20.36268	 0.043	 0.132	bll    	        	   983.99	N	        	19.899	19.160
J0021.6-2553 	  0	CRATES J002132.55-255049.3	005.38562	-25.84705	 0.047	 0.053	bll    	        	    69.02	N	        	17.221	
J0021.6-6835 	  0	PKS 0021-686              	006.02801	-68.34850	 0.333	 0.297	bcu II 	        	  1248.00	S	  21.700	16.493	
J0022.1-1855 	  0	1RXS J002209.2-185333     	005.53862	-18.89302	 0.030	 0.032	bll    	        	    22.53	N	  10.900	17.447	
J0022.1-5141 	  0	1RXS J002159.2-514028     	005.49933	-51.67381	 0.035	 0.047	bll    	        	    20.00	S	  50.900	16.579	
J0022.5+0608 	  0	PKS 0019+058              	005.63517	+06.13452	 0.008	 0.036	bll    	        	   340.32	N	        	19.510	17.830
J0023.5+4454 	  0	B3 0020+446               	005.89768	+44.94327	 0.040	 0.123	fsrq   	 1.06200	   140.60	N	        	      	
J0024.4+0350 	  0	GB6 J0024+0349            	006.18841	+03.81766	 0.082	 0.115	fsrq   	 0.54500	    22.08	N	        	19.812	18.630
J0026.7-4603 	  0	1RXS J002636.3-460101     	006.64879	-46.01922	 0.048	 0.134	bll    	        	    38.70	S	 141.000	18.066	
J0028.6+7507 	  0	GB6 J0028+7506            	007.05443	+75.10358	 0.031	 0.082	bcu II 	        	    81.10	N	        	      	
J0028.8+1951 	  0	TXS 0025+197              	007.12424	+20.00743	 0.172	 0.159	bcu III	        	   287.09	N	        	19.942	19.320
J0029.1-7045 	  0	PKS 0026-710              	007.17318	-70.75442	 0.041	 0.061	bll    	        	   260.00	A	        	17.437	
J0030.2-1646 	  0	1RXS J003019.6-164723     	007.58494	-16.78729	 0.022	 0.042	bcu II 	        	     9.53	N	  10.200	17.777	
J0030.3-4223 	  0	PKS 0027-426              	007.57289	-42.41291	 0.021	 0.052	fsrq   	 0.49500	   424.80	S	        	18.646	
J0030.7-0209 	  0	PKS B0027-024             	007.63260	-02.19893	 0.077	 0.070	bcu II 	        	   297.00	A	        	18.525	19.110
J0031.3+0724 	  0	NVSS J003119+072456       	007.83212	+07.41488	 0.002	 0.072	bcu II 	        	    12.20	N	        	19.167	17.000
J0032.3-2852 	  0	PMN J0032-2849            	008.13793	-28.82199	 0.069	 0.075	bll    	 0.32400	   160.73	N	        	17.180	
J0033.6-1921 	  1	KUV 00311-1938            	008.39325	-19.35920	 0.010	 0.019	bll    	 0.61000	    18.89	N	 149.000	16.259	
J0035.2+1513 	  0	RX J0035.2+1515           	008.81135	+15.25115	 0.029	 0.041	bll    	        	    18.80	N	  73.300	17.063	16.360
J0037.9+1239 	  0	NVSS J003750+123818       	009.46200	+12.63886	 0.019	 0.044	bll    	 0.08900	    75.68	N	   7.960	14.387	15.320
J0038.0+0012 	  0	NVSS J003808+001336       	009.53546	+00.22681	 0.022	 0.079	bll    	        	    96.15	N	        	19.669	18.610
J0038.0-2501 	  0	PKS 0035-252              	009.56140	-24.98395	 0.068	 0.103	fsrq   	 1.19600	   412.99	N	  24.100	17.291	
J0039.0-2218 	  0	PMN J0039-2220            	009.78420	-22.33374	 0.041	 0.100	bcu I  	 0.06438	   117.15	N	  25.900	11.506	
J0039.1+4330 	  0	NVSS J003907+433015       	009.78400	+43.50406	 0.010	 0.055	bcu III	        	     8.19	N	        	21.059	
J0039.1-0939 	  0	TXS 0036-099              	009.77622	-09.71302	 0.056	 0.202	fsrq   	 2.10150	   154.06	N	        	19.665	
J0040.3+4049 	  0	B3 0037+405               	010.05624	+40.83481	 0.026	 0.041	bcu I  	        	    48.15	N	  25.500	19.156	
J0040.5-2339 	  0	PMN J0040-2340            	010.10378	-23.66692	 0.043	 0.081	bcu I  	 0.21300	    53.68	N	        	16.539	
J0041.9+3639 	  0	RX J0042.0+3641           	010.53424	+36.68687	 0.037	 0.068	bll    	        	    11.98	N	  36.800	18.034	18.020
J0042.0+2318 	  0	PKS 0039+230              	010.51894	+23.33363	 0.029	 0.154	fsrq   	 1.42600	  1269.82	N	        	      	20.060
J0043.5-0444 	  0	1RXS J004333.7-044257     	010.89220	-04.71717	 0.023	 0.057	bcu II 	        	    29.82	N	  49.200	19.291	17.980
J0043.7-1117 	  0	1RXS J004349.3-111612     	010.95291	-11.26878	 0.026	 0.071	bcu II 	        	    24.93	N	  11.000	18.085	
J0043.8+3425 	  0	GB6 J0043+3426            	010.95351	+34.44058	 0.017	 0.034	fsrq   	 0.96600	    93.41	N	        	19.994	19.110
J0045.2-3704 	  0	PKS 0042-373              	011.30027	-37.09680	 0.019	 0.086	bcu II 	        	   329.84	N	        	19.596	
J0045.3+2126 	  0	GB6 J0045+2127            	011.33041	+21.46111	 0.023	 0.025	bll    	        	    50.16	N	  39.900	16.963	16.370
J0045.7+1217 	  0	GB6 J0045+1217            	011.43059	+12.28661	 0.004	 0.037	bll    	        	   103.86	N	  14.600	17.727	16.780
J0046.7-8419 	  0	PKS 0044-84               	011.11120	-84.37777	 0.081	 0.139	fsrq   	 1.03200	   693.40	S	        	19.649	
J0048.0+2236 	  0	NVSS J004802+223525       	012.01090	+22.59003	 0.011	 0.073	fsrq   	 1.16100	    83.82	N	        	19.260	18.030
J0048.0+3950 	  0	B3 0045+395               	011.98123	+39.81668	 0.033	 0.065	bll    	 0.25200	    93.22	N	   5.410	17.412	16.770
J0049.4-4149 	  0	1RXS J004939.9-415133     	012.41217	-41.86050	 0.052	 0.076	bcu II 	        	         	N	  20.300	19.443	
J0049.4-5401 	  0	PMN J0049-5402            	012.45233	-54.04592	 0.063	 0.089	bcu II 	        	   196.10	S	        	17.612	
J0049.7+0237 	  0	PKS 0047+023              	012.43015	+02.61772	 0.013	 0.066	bll    	 1.47400	   425.98	N	        	18.839	17.900
J0049.8-5737 	  0	PKS 0047-579              	012.49780	-57.64093	 0.025	 0.056	fsrq   	 1.79700	  2045.00	S	   9.070	16.915	
J0050.0-4458 	  0	PMN J0049-4457            	012.31927	-44.95310	 0.139	 0.145	bcu I  	 0.12100	   336.00	A	  36.500	16.534	
J0050.4-0449 	  0	PKS 0047-051              	012.58973	-04.87239	 0.051	 0.107	fsrq   	 0.92000	   254.40	N	        	19.767	18.800
J0050.6-0929 	  0	PKS 0048-09               	012.67216	-09.48478	 0.002	 0.026	bll    	 0.63500	   814.72	N	  50.300	16.890	15.330
J0051.0-0649 	  0	PKS 0048-071              	012.78421	-06.83395	 0.024	 0.061	fsrq   	 1.97500	   904.62	N	        	19.745	18.830
J0051.2-6241 	  0	1RXS J005117.7-624154     	012.81854	-62.70150	 0.013	 0.028	bcu II 	        	    43.20	S	  45.700	16.752	
J0054.8-2455 	  0	FRBA J0054-2455           	013.69483	-24.92478	 0.026	 0.037	bll    	        	    24.46	N	  37.000	17.360	
J0055.2-1213 	  0	TXS 0052-125              	013.79909	-12.29919	 0.067	 0.127	bcu II 	        	   263.12	N	        	      	
J0056.3-0935 	  0	TXS 0053-098              	014.08367	-09.60829	 0.016	 0.056	bll    	 0.10310	   200.86	N	  90.700	12.105	14.450
