                              | |                              |      |          |    |      | SDSS-DR6 u  | SDSS-DR6 u  | SDSS-DR6 g  | SDSS-DR6 g  | SDSS-DR6 r  | SDSS-DR6 r  | SDSS-DR6 i  | SDSS-DR6 i  | SDSS-DR6 z  | SDSS-DR6 z  |    FIRST    |    FIRST    
      Input Object Name       | |         Object Name          |Object| Redshift | z  |Mag./ |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   1.4 GHz   |   1.4 GHz   
                              | | (* Hover for Essential Note) | Type |          |Qual|Filter|  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  
                              | |                              |      |          |    |      |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |   milliJy   |  W/m^2/Hz    
TXS2358+209                   |*|2MASS J00013236+2113362       |QSO   |  1.106000|    |  18.2|             |             |             |             |             |             |             |             |             |             |             |             
PKS0002-478                   | |PKS 0002-478                  |QSO   |  0.880000|    |  19.0|             |             |             |             |             |             |             |             |             |             |             |             
S40003+38                     | |B2 0003+38A                   |QSO   |  0.229000|    | 19.9V|             |             |             |             |             |             |             |             |             |             |             |             
S30013-00                     | |[HB89] 0013-005               |QSO   |  1.576310|    | 19.3i|       20.627|     2.11E-31|       20.257|     2.87E-31|       19.762|     4.52E-31|       19.372|     6.47E-31|       19.190|     7.51E-31|             |             
PMNJ0017-0512                 | |WISE J001735.81-051241.6      |QSO   |  0.227000|    | 17.6R|             |             |             |             |             |             |             |             |             |             |             |             
B30020+446                    |*|B3 0020+446                   |QSO   |  1.062000|    | 21.7R|             |             |             |             |             |             |             |             |             |             |             |             
GB6J0024+0349                 | |WISE J002445.21+034903.7      |VisS  |  0.545000|    | 18.5R|             |             |             |             |             |             |             |             |             |             |             |             
PKS0027-426                   |*|[HB89] 0027-426               |QSO   |  0.495000|    |  19.0|             |             |             |             |             |             |             |             |             |             |             |             
PKS0035-252                   |*|[HB89] 0035-252               |QSO   |  0.498058|    | 19.2b|             |             |             |             |             |             |             |             |             |             |             |             
TXS0036-099                   |*|SDSS J003906.29-094246.8      |QSO   |  2.101500|    | 20.8V|       21.222|     1.22E-31|       21.161|     1.25E-31|       20.818|     1.71E-31|       20.609|     2.07E-31|       20.326|     2.61E-31|             |             
PKS0039+230                   |*|PKS 0039+230                  |QSO   |  1.426000|    | 19.4R|             |             |             |             |             |             |             |             |             |             |             |             
GB6J0043+3426                 | |WISE J004348.88+342625.9      |RadioS|  0.966000|    |      |             |             |             |             |             |             |             |             |             |             |             |             
PKS0044-84                    | |PKS 0044-84                   |QSO   |  1.032000|    |  18.5|             |             |             |             |             |             |             |             |             |             |             |             
NVSSJ004802+223525            | |WISE J004802.60+223524.3      |VisS  |  1.161000|    | 18  R|             |             |             |             |             |             |             |             |             |             |             |             
PKS0047-579                   | |[HB89] 0047-579               |QSO   |  1.797000|    |  18.5|             |             |             |             |             |             |             |             |             |             |             |             
PKS0047-051                   | |PKS 0047-051                  |QSO   |  0.920000|    |  18.5|             |             |             |             |             |             |             |             |             |             |             |             
PKS0048-071                   | |[HB89] 0048-071               |QSO   |  1.975000|    |  19.5|             |             |             |             |             |             |             |             |             |             |             |             
PKS0055-059                   | |PKS 0055-059                  |QSO   |  1.245600|    |  18.5|             |             |             |             |             |             |             |             |             |             |             |             
MG3J005830+3311               | |WISE J005832.05+331117.3      |QSO   |  1.369000|    | 19.87|             |             |             |             |             |             |             |             |             |             |             |             
PKS0056-00                    | |LBQS 0056-0009                |QSO   |  0.719017|    | 17.5g|       17.767|     2.95E-30|       17.469|     3.74E-30|       17.447|     3.81E-30|       17.514|     3.58E-30|       17.353|     4.08E-30|             |             
GB6J0102+4214                 | |WISE J010227.15+421418.9      |QSO   |  0.874000|    |      |             |             |             |             |             |             |             |             |             |             |             |             
