      SDSS-FIRST Complete Data

    Redshift   Lum. Dist.        K-{opt} f_2500A         f_1.4GHz   L_o,    L_r
                  cm                    erg/(s cm2 Hz)     mJy       erg/(s Hz)  erg/(s Hz)

    0.0645000 8.81428e+026      1.38902 1.87768e-026      3.74280 1.31977e+029 3.57386e+029
    0.0766000 1.05568e+027      1.46510 2.19393e-026      829.583 2.09714e+029 1.13116e+032
    0.0839000 1.16212e+027      1.48738 1.05396e-026      11.2425 1.20258e+029 1.85266e+030
    0.0844000 1.16944e+027      1.48827 9.68325e-027      4.42196 1.11818e+029 7.37776e+029
    0.0919000 1.27989e+027      1.49857 1.20676e-026      11.7700 1.65769e+029 2.34573e+030
    0.0963000 1.34517e+027      1.49917 7.49588e-027      9.56000 1.13693e+029 2.10119e+030
    0.0974000 1.36154e+027      1.49933 1.08249e-026      6.86000 1.68190e+029 1.54407e+030
    0.0979000 1.36899e+027      1.49939 1.05299e-026      2.33030 1.65394e+029 5.30169e+029
    0.0998000 1.39734e+027      1.49966 1.09653e-026      4.56000 1.79410e+029 1.08012e+030
     0.102900 1.44374e+027      1.50009 1.37665e-026      2.81000 2.40378e+029 7.09735e+029
     0.105500 1.48279e+027      1.50044 8.59852e-027      212.833 1.58333e+029 5.66499e+031
     0.107100 1.50688e+027      1.50067 5.81328e-027      1.33333 1.10536e+029 3.66308e+029
     0.109500 1.54310e+027      1.50100 7.29831e-027      2.43856 1.45492e+029 7.01934e+029
     0.110200 1.55368e+027      1.50109 1.59670e-026      2.68000 3.22662e+029 7.81851e+029
     0.110900 1.56427e+027      1.50119 2.36822e-026      1.69000 4.85089e+029 4.99653e+029
     0.113100 1.59762e+027      1.50150 5.38049e-027      1.47630 1.14936e+029 4.54920e+029
     0.113300 1.60066e+027      1.50152 7.87087e-027      2.38000 1.68771e+029 7.36130e+029
     0.113400 1.60218e+027      1.50154 6.35654e-027      16.1383 1.36557e+029 5.00084e+030
     0.113500 1.60369e+027      1.50155 1.00189e-026      1.09000 2.15643e+029 3.38391e+029
     0.114900 1.62497e+027      1.50174 1.25551e-026      81.5686 2.77413e+029 2.59863e+031
     0.115800 1.63867e+027      1.50187 4.56689e-027      3.37072 1.02607e+029 1.09168e+030
     0.116400 1.64780e+027      1.50195 6.22329e-027      23.2400 1.41379e+029 7.60931e+030
     0.117200 1.66000e+027      1.50206 1.88461e-026      22.9495 4.34468e+029 7.62363e+030
     0.117500 1.66457e+027      1.50210 6.00376e-027      4.90000 1.39168e+029 1.63655e+030
     0.117800 1.66915e+027      1.50215 8.55903e-027      15.8774 1.99487e+029 5.33153e+030
     0.118100 1.67373e+027      1.50219 1.34160e-026      3.62923 3.14398e+029 1.22523e+030
     0.118100 1.67373e+027      1.50219 6.57087e-027      3.54175 1.53986e+029 1.19570e+030
     0.119700 1.69818e+027      1.50241 6.88685e-027      3.02000 1.66115e+029 1.04896e+030
     0.119700 1.69818e+027      1.50241 5.76533e-027      21.4800 1.39064e+029 7.46084e+030
     0.120600 1.71195e+027      1.50195 4.26995e-027      1.40000 1.04703e+029 4.94034e+029
     0.120800 1.71501e+027      1.50178 6.18902e-027      1.74000 1.52321e+029 6.16168e+029
     0.121700 1.72880e+027      1.50104 6.21760e-027      6.28594 1.55573e+029 2.26119e+030
     0.122200 1.73647e+027      1.50062 8.89653e-027      1.47000 2.24644e+029 5.33397e+029
     0.124900 1.77795e+027      1.49838 1.05687e-026      10.3874 2.80188e+029 3.94752e+030
     0.126400 1.80105e+027      1.49714 4.12307e-027      1.11563 1.12259e+029 4.34829e+029
     0.128600 1.83500e+027      1.49532 4.28569e-027      21.9663 1.21274e+029 8.88053e+030
     0.129100 1.84273e+027      1.49491 5.03063e-027      2.32492 1.43595e+029 9.47683e+029
     0.129800 1.85355e+027      1.49433 8.93765e-027      12.6552 2.58223e+029 5.21800e+030
     0.130100 1.85820e+027      1.49407 7.15853e-027      1.75510 2.07895e+029 7.27217e+029
     0.130100 1.85820e+027      1.49407 4.02181e-027      2.47000 1.16800e+029 1.02343e+030
     0.130200 1.85974e+027      1.49398 5.88330e-027      3.59000 1.71156e+029 1.48992e+030
     0.130700 1.86749e+027      1.49349 4.98451e-027      1.19000 1.46266e+029 4.97907e+029
     0.130900 1.87058e+027      1.49330 3.81963e-027      3.68308 1.12470e+029 1.54604e+030
     0.131000 1.87213e+027      1.49320 1.20565e-026      17.7509 3.55619e+029 7.46334e+030
     0.131800 1.88453e+027      1.49243 4.78654e-027      1.34000 1.43134e+029 5.70729e+029
     0.133300 1.90781e+027      1.49099 1.56756e-026      7.39000 4.80873e+029 3.22406e+030
     0.133500 1.91092e+027      1.49080 1.07059e-026      1.40000 3.29534e+029 6.12731e+029
     0.133700 1.91403e+027      1.49060 5.76533e-027      15.8803 1.78061e+029 6.97236e+030
     0.134900 1.93269e+027      1.48945 1.20233e-026      2.53446 3.78905e+029 1.13410e+030
     0.136800 1.96228e+027      1.48763 4.55849e-027      6.54000 1.48273e+029 3.01477e+030
     0.136900 1.96384e+027      1.48753 3.61761e-027      1.99000 1.17864e+029 9.18764e+029
     0.137900 1.97945e+027      1.48657 3.31453e-027      8.86373 1.09783e+029 4.15613e+030
     0.138000 1.98101e+027      1.48648 6.12099e-027      117.464 2.03070e+029 5.51629e+031
     0.138100 1.98257e+027      1.48638 1.21122e-026      3.17000 4.02495e+029 1.49098e+030
     0.139200 1.99976e+027      1.48533 6.10973e-027      1.79522 2.06711e+029 8.58736e+029
     0.140700 2.02323e+027      1.48293 4.73828e-027      2.51798 1.64362e+029 1.23226e+030
     0.141400 2.03420e+027      1.48130 1.52483e-026      2.09333 5.35275e+029 1.03532e+030
     0.142600 2.05302e+027      1.47850 1.07355e-026      2.74000 3.84588e+029 1.37976e+030
     0.144400 2.08130e+027      1.47433 3.59104e-027      1.95433 1.32588e+029 1.01079e+030
     0.145500 2.09861e+027      1.47179 2.86037e-027      1.70000 1.07559e+029 8.93589e+029
     0.145900 2.10490e+027      1.47087 3.66118e-027      2.01000 1.38586e+029 1.06274e+030
     0.147600 2.13170e+027      1.46697 5.16681e-027      12.1605 2.01124e+029 6.59044e+030
     0.148500 2.14591e+027      1.46492 6.83004e-027      2.82891 2.69801e+029 1.55316e+030
     0.149300 2.15856e+027      1.46310 5.43528e-027      6.10000 2.17513e+029 3.38773e+030
     0.149800 2.16646e+027      1.46196 5.21461e-027      3.05547 2.10377e+029 1.70906e+030
